GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons DbUtils,org.apache.commons.dbutils,ResultSetIterator,21,45,0,2,8,13,1,7,1,6
Apache Commons DbUtils,org.apache.commons.dbutils,QueryLoader,4,85,1,5,2,23,1,8,0,6
Apache Commons DbUtils,org.apache.commons.dbutils,DbUtils.DriverProxy,88,0,2,0,23,0,9,0,8,0
Apache Commons DbUtils,org.apache.commons.dbutils,BasicRowProcessor,5,94,3,5,1,24,3,9,1,7
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,27,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,22,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,27,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,31,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,21,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,21,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AbstractQueryRunner,144,431,11,43,35,126,14,35,3,19
Apache Commons DbUtils,org.apache.commons.dbutils,DbUtils,91,78,10,12,33,46,10,20,5,14
Apache Commons DbUtils,org.apache.commons.dbutils,BeanProcessor,145,393,10,46,28,94,10,34,0,16
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.BatchCallableStatement,54,0,2,0,15,0,3,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.UpdateCallableStatement,53,0,2,0,15,0,3,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner,29,206,0,0,4,28,3,20,3,20
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.QueryCallableStatement,70,0,2,0,21,0,3,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,BasicRowProcessor.CaseInsensitiveHashMap,49,39,2,0,9,8,4,3,3,3
Apache Commons DbUtils,org.apache.commons.dbutils,ResultSetIterator.new Iterable() {...},12,0,0,0,2,0,2,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,StatementConfiguration.Builder,0,42,0,0,0,12,0,7,0,7
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},26,0,0,0,2,0,2,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,OutParameter,27,59,0,2,4,20,3,7,3,6
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,31,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},31,0,0,0,2,0,2,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,21,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,22,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,ProxyFactory,0,66,0,0,0,12,0,11,0,11
Apache Commons DbUtils,org.apache.commons.dbutils,GenerousBeanProcessor,0,67,1,11,0,17,1,7,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,BaseResultSetHandler,1048,0,2,0,291,0,193,0,192,0
Apache Commons DbUtils,org.apache.commons.dbutils,StatementConfiguration,0,68,0,10,0,17,0,16,0,11
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,22,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,17,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,QueryRunner,180,638,25,63,35,181,31,54,10,31
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.properties,StringEnumPropertyHandler,0,20,0,4,0,3,0,5,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.properties,DatePropertyHandler,0,78,1,13,0,23,1,9,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,AbstractListHandler,0,19,0,2,0,5,0,3,0,2
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ColumnListHandler,0,37,0,2,0,13,0,6,0,5
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,MapListHandler,0,15,0,0,0,6,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,BeanMapHandler,0,63,0,2,0,18,0,8,0,7
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,BeanListHandler,0,21,0,0,0,7,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,BeanHandler,0,26,0,2,0,7,0,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,MapHandler,0,20,0,2,0,6,0,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ArrayHandler,0,28,0,2,0,8,0,5,0,4
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ScalarHandler,0,42,0,4,0,15,0,7,0,5
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,AbstractKeyedHandler,0,25,0,2,0,6,0,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ArrayListHandler,0,15,0,0,0,6,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,KeyedHandler,6,48,0,2,2,15,1,7,1,6
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,BooleanColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,LongColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,ByteColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,FloatColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,DoubleColumnHandler,0,20,0,4,0,3,0,5,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,StringColumnHandler,0,11,0,0,0,3,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,IntegerColumnHandler,0,20,0,4,0,3,0,5,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,SQLXMLColumnHandler,0,11,0,0,0,3,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,TimestampColumnHandler,0,11,0,0,0,3,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,ShortColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.wrappers,SqlNullCheckedResultSet,9,347,3,15,1,106,4,51,1,45
Apache Commons DbUtils,org.apache.commons.dbutils.wrappers,StringTrimmedResultSet,0,41,1,5,0,11,1,6,0,4
